presidente	ruolo	allora-presidente	3
bambini	condizione	allora-bambini	2
conferenza	evento	allora-conferenza	1
Papa	ruolo	allora-Papa	1
Presidente	ruolo	allora-Presidente	1
fidanzato	parentela	allora-fidanzato	1
franchising	condizione	allora-franchising	1
guida	mestiere	allora-guida	1
marito	parentela	allora-marito	1
romanzo	oggetto	allora-romanzo	1
successo	entità	allora-successo	1
trio	condizione	allora-trio	1
record	grado	allora-campionato-record	1
ragazzo	condizione	allora-ragazzo	1
caparbia	proprietà	allora-caparbia	1
