	violenza		non-violenza	4066
	morti		non-morti	3604
	luogo		non-luogo	3095
	senso		non-senso	2187
	luoghi		non-luoghi	1739
	morto		non-morto	1472
	fiction		non-fiction	1358
	vita		non-vita	1306
	fumatori		non-fumatori	1256
	esistenza		non-esistenza	1142
	umani		non-umani	942
	inferiorità		non-inferiorità	844
	ebrei		non-ebrei	839
	musulmani		non-musulmani	804
	voto		non-voto	737
	contraddizione		non-contraddizione	720
	proliferazione		non-proliferazione	685
	lavoro		non-lavoro	660
	umano		non-umano	644
	credenti		non-credenti	632
	dualità		non-dualità	584
	discriminazione		non-discriminazione	577
	ritorno		non-ritorno	568
	vedenti		non-vedenti	555
	standard		non-standard	549
	scuola		non-scuola	539
	linearità		non-linearità	524
	conoscenza		non-conoscenza	517
	UE		non-UE	512
	notizia		non-notizia	490
	tempo		non-tempo	490
	morte		non-morte	487
	REM		non-REM	472
	azione		non-azione	452
	autosufficienza		non-autosufficienza	447
	trattati		non-trattati	436
	pensiero		non-pensiero	420
	A		non-A	412
	intervento		non-intervento	406
	verità		non-verità	401
	risposta		non-risposta	371
	cristiani		non-cristiani	359
	cittadini		non-cittadini	342
	scelta		non-scelta	340
	problema		non-problema	315
	persone		non-persone	314
	amore		non-amore	310
	credente		non-credente	310
	libertà		non-libertà	308
	morta		non-morta	308
	esistente		non-esistente	307
	località		non-località	305
	partito		non-partito	299
	colore		non-colore	297
	locale		non-locale	288
	conformità		non-conformità	287
	frequentanti		non-frequentanti	279
	umana		non-umana	272
	ufficiale		non-ufficiale	271
	mente		non-mente	262
	storia		non-storia	262
	vegetariani		non-vegetariani	261
	cultura		non-cultura	260
	persona		non-persona	253
	ebreo		non-ebreo	252
	vedente		non-vedente	249
	cattolici		non-cattolici	241
	uomo		non-uomo	241
	aggressione		non-aggressione	228
	politica		non-politica	228
	HDL		non-HDL	227
	attaccamento		non-attaccamento	226
	occidentali		non-occidentali	224
	inferiore		non-inferiore	218
	melanoma		non-melanoma	218
	Rom		non-Rom	217
	conferenza		non-conferenza	215
	professionisti		non-professionisti	215
	collaborazione		non-collaborazione	211
	cooperazione		non-cooperazione	208
	interferenza		non-interferenza	207
	equilibrio		non-equilibrio	206
	scelte		non-scelte	204
	residenti		non-residenti	201
	italiani		non-italiani	200
	identità		non-identità	199
	musulmano		non-musulmano	194
	realtà		non-realtà	194
	umane		non-umane	193
	governo		non-governo	189
	compleanno		non-compleanno	187
	gioco		non-gioco	186
	nato		non-nato	184
	comunicazione		non-comunicazione	180
	trattato		non-trattato	178
	Opec		non-Opec	177
	lettori		non-lettori	175
	evento		non-evento	172
	OGM		non-OGM	171
	attori		non-attori	170
	allineamento		non-allineamento	168
	soluzione		non-soluzione	166
	statuto		non-statuto	166
	valvolare		non-valvolare	166
	arte		non-arte	165
	cristiane		non-cristiane	165
	uomini		non-uomini	165
	appartenenza		non-appartenenza	164
	coincidenza		non-coincidenza	161
	fumatore		non-fumatore	160
	famiglie		non-famiglie	159
	spazio		non-spazio	159
	accettazione		non-accettazione	158
	reale		non-reale	158
	tessuto		non-tessuto	155
	utilizzatori		non-utilizzatori	155
	Essere		non-Essere	154
	locali		non-locali	154
	metalli		non-metalli	154
	dualismo		non-dualismo	150
	forma		non-forma	149
	parole		non-parole	148
	presenza		non-presenza	148
	risposte		non-risposte	148
	motori		non-motori	147
	diritto		non-diritto	146
	soci		non-soci	145
	ufficiali		non-ufficiali	145
	udenti		non-udenti	144
	OPEC		non-OPEC	143
	scienza		non-scienza	143
	ingerenza		non-ingerenza	142
	notizie		non-notizie	140
	esperti		non-esperti	138
	belligeranza		non-belligeranza	137
	resistenza		non-resistenza	136
	riconoscimento		non-riconoscimento	136
	ente		non-ente	134
	partecipazione		non-partecipazione	133
	volontà		non-volontà	133
	membri		non-membri	132
	B		non-B	130
	guerra		non-guerra	129
	clinici		non-clinici	126
	diabetici		non-diabetici	126
	disgiunzione		non-disgiunzione	126
	medici		non-medici	126
	Europa		non-Europa	125
	giudizio		non-giudizio	124
	valore		non-valore	124
	città		non-città	123
	rapporto		non-rapporto	123
	cristiano		non-cristiano	122
